product_name,price_tag,currency (IDR),link_product
Nike Court Legacy Next Nature White Photo Blue,350000,IDR,https://www.kickavenue.com/sneakers/nike/nike-court-legacy-next-nature-white-photo-blue-fq8226-101-ka/108678?from=search
Nike Court Royale Triple White (Women's),390000,IDR,https://www.kickavenue.com/sneakers/nike/nike-court-royale-triple-white-w-whitewhite-white-ka/43166?from=search
Nike Court Vision Low Next Nature White Phantom,400000,IDR,https://www.kickavenue.com/sneakers/nike/nike-court-vision-low-next-nature-white-phantom-hf1741-001-ka/103736?from=search
Nike Giannis Immortality 3EP Photo Blue,450000,IDR,https://www.kickavenue.com/sneakers/nike/nike-giannis-immortality-3ep-photo-blue-dz7534-400-ka/111212?from=search
Nike Court Vision Low Next Nature White Burgundy Crush,450000,IDR,https://www.kickavenue.com/sneakers/nike/nike-court-vision-low-next-nature-white-burgundy-crush-dh2987-113-ka/112436?from=search
Nike Court Vision Low White,450000,IDR,https://www.kickavenue.com/sneakers/nike/nike-court-vision-low-white-dh2987-100-ka/37303?from=search
Puma Suede Sophia Webster Fiery Coral (Women's),500000,IDR,https://www.kickavenue.com/sneakers/puma/puma-suede-sophia-webster-fiery-coral-w-369516-01-ka/96239?from=search
Nike Court Borough Low Recraft White Pink Foam (Grade School),500000,IDR,https://www.kickavenue.com/sneakers/nike/nike-court-borough-low-recraft-white-pink-foam-gs-dv5456-105-ka/64084?from=search
Nike Ebernon Low Premium Wolf Grey,540000,IDR,https://www.kickavenue.com/sneakers/nike/nike-ebernon-low-premium-wolf-grey-aq1774-102-ka/39356?from=search
Nike Court Vision Low Next Nature White Black,550000,IDR,https://www.kickavenue.com/sneakers/nike/nike-court-vision-low-next-nature-white-black-dh2987-101-ka/28864?from=search
Nike Air Force 1 '07 White Picante Red,550000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-07-white-picante-red-dv0788-102-ka/70815?from=search
New Balance 550 White Grey (Grade School),600000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-550-white-grey-gs-gsb550pb-ka-2/37064?from=search
Nike Court Vision Low Wolf Grey Carbon,600000,IDR,https://www.kickavenue.com/sneakers/nike/nike-court-vision-low-wolf-grey-carbon-fq7669-001-ka/96546?from=search
Nike Court Vision Low Sail Gum Light Brown,600000,IDR,https://www.kickavenue.com/sneakers/nike/nike-court-vision-low-sail-gum-light-brown-hf1068-133-ka/95955?from=search
New Balance 550 Triple White,610000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-550-triple-white-bb550www-ka/63265?from=search
Nike Court Vision Low Sail Orewood Brown,640000,IDR,https://www.kickavenue.com/sneakers/nike/nike-court-vision-low-sail-orewood-brown-fq8075-133-ka/73679?from=search
Vans Era Market Black,650000,IDR,https://www.kickavenue.com/sneakers/vans/vans-era-market-black-vn0a5jmlb0k-ka/57031?from=search
New Balance 550 Chicago,680000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-550-chicago-bb550str-ka/79096?from=search
Nike Tech Hera White Black (Women's),690000,IDR,https://www.kickavenue.com/sneakers/nike/nike-tech-hera-white-black-w-dr9761-101-ka/75355?from=search
Nike Court Vision Low White Adobe Red (Women's),700000,IDR,https://www.kickavenue.com/sneakers/nike/nike-court-vision-low-white-adobe-red-w-fq7628-100-ka/96545?from=search
Nike Dunk Low Clear Jade,700000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-clear-jade-dv0833-101-ka/64654?from=search
New Balance 550 Pink White (Women's),750000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-550-pink-white-w-bbw550bp-ka/68202?from=search
New Balance 327 Dove Grey Military Green (Women's),750000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-327-dove-grey-military-green-w-ws327ps-ka/94758?from=search
Converse Chuck Taylor All-Star 70's High Black,750000,IDR,https://www.kickavenue.com/sneakers/converse/converse-chuck-taylor-all-star-70s-high-black-162050c-ka/1191?from=search
Nike Air Zoom GT Cut 2 TB Black White,800000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-zoom-gt-cut-2-tb-black-white-dj6015-006-ka-2/90295?from=search
Puma Palermo Brown Mushroom Ginger Tea,800000,IDR,https://www.kickavenue.com/sneakers/puma/puma-palermo-brown-mushroom-ginger-tea-396463-03-ka/108472?from=search
Nike Dunk Low Halloween (2022) (Grade School),800000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-halloween-2022-gs-dq6215-001-ka/39572?from=search
Nike Gamma White Smoke Grey (Women's),800000,IDR,https://www.kickavenue.com/sneakers/nike/nike-gamma-white-smoke-grey-w-dx9176-109-ka/103360?from=search
New Balance 530 White Green Metallic,800000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-530-white-green-metallic-mr530rb-ka/96227?from=search
Adidas Yeezy Slide Azure,840000,IDR,https://www.kickavenue.com/sneakers/yeezy/yeezy-slide-azure-id4133-ka/38558?from=search
Nike Air Force 1 Low '07 Triple White (2021),840000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-07-triple-white-2021-cw2288-111-ka/16843?from=search
Nike Killshot 2 J Crew Sail Midnight Navy,840000,IDR,https://www.kickavenue.com/sneakers/nike/nike-killshot-2-j-crew-sail-midnight-navy-432997-107-ka/3081?from=search
Adidas Samba Classic Black,850000,IDR,https://www.kickavenue.com/sneakers/adidas/adidas-samba-classic-black-034563-ka/42392?from=search
Nike Air Force 1 Low '07 Fresh White,850000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-low-07-fresh-white-dm0211-100-ka/34848?from=search
Nike Initiator White Metallic Silver (Women's),850000,IDR,https://www.kickavenue.com/sneakers/nike/nike-initiator-white-metallic-silver-w-fq6873-101-ka/87571?from=search
New Balance 550 Vintage Grey,890000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-550-vintage-grey-bb550vgb-ka/96255?from=search
Nike Dunk Low Year Of The Dragon (Grade School),890000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-year-of-the-dragon-gs-fz5528-101-ka/79215?from=search
Puma Suede Archive Remastered,900000,IDR,https://www.kickavenue.com/sneakers/puma/puma-suede-archive-remastered-389462-01-ka/109002?from=search
Vans Era Mother Earth,910000,IDR,https://www.kickavenue.com/sneakers/vans/vans-era-mother-earth-vn0a4u39wz2-ka/57032?from=search
Adidas Yeezy Foam RNR MX Cinder,920000,IDR,https://www.kickavenue.com/sneakers/yeezy/adidas-yeezy-foam-rnr-mx-cinder-id4126-ka/61722?from=search
Nike Air Force 1 '07 Fresh White,930000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-07-fresh-white-dm0211-002-ka/76120?from=search
New Balance 530 Steel Grey,950000,IDR,https://www.kickavenue.com/sneakers/new-balance/new-balance-530-steel-grey-mr530ka-ka-2/34089?from=search
Nike Giannis Immortality 4 EP Black Raspberry,950000,IDR,https://www.kickavenue.com/sneakers/nike/nike-giannis-immortality-4-ep-black-raspberry-fq3681-500-ka/113412?from=search
Nike Dunk Low Championship Red (2021),950000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-championship-red-2021-dd1391-600-ka/24925?from=search
Nike Dunk Low Retro White Black Panda,950000,IDR,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-retro-white-black-panda-dd1391-100-ka/17266?from=search
Nike Air Max Plus Black Suede Silver (Women's),970000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-max-plus-black-suede-silver-w-dq0850-001-ka/77338?from=search
Nike Air Force 1 '07 Sail And Limestone (Women's),990000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-07-sail-and-limestone-w-hf4263-133-ka/103727?from=search
Vans Vault Knu Skool Black White,990000,IDR,https://www.kickavenue.com/sneakers/vans/vans-vault-knu-skool-black-white-vn0009qc6bt-ka/58101?from=search
Nike Air Force 1 '07 White (Women's),990000,IDR,https://www.kickavenue.com/sneakers/nike/nike-air-force-1-07-triple-white-w-dd8959-100-ka/16882?from=search
